start,end,character,arousal,valence,direction,emotion,oncue,offcue
204.0,209.0,FORREST,LOW,POS,OTHER,HAPPINESS,VERBAL,EMOFADED
238.0,241.0,WOMAN,LOW,NEG,OTHER,ANGERRAGE,VERBAL,EMOFADED
278.0,285.0,FORREST,LOW,NEG,OTHER,DISAPPOINTMENT,CONTEXT FACE,EMOFADED
307.0,310.0,MRSGUMP,HIGH,POS,OTHER,GRATITUDE,FACE,EMOCHANGE
311.0,312.0,MRSGUMP,HIGH,NEG,OTHER,FEAR,FACE,SCENEEND
318.0,343.0,FORRESTVO,LOW,POS,SELF,,CONTEXT VERBAL,SCENEEND
356.0,365.0,MRSGUMP,LOW,NEG,OTHER,ANGERRAGE,GESTURE,EMOCHANGE
366.0,372.0,MRSGUMP,LOW,NEG,OTHER,CONTEMPT,VERBAL,EMOFADED
381.0,385.0,FORRESTVO,HIGH,POS,OTHER,ADMIRATION,VERBAL,SCENEEND
403.0,420.0,FORRESTVO,LOW,POS,OTHER,LOVE,VERBAL,CHARLEFT
434.0,443.0,MAN,LOW,NEG,OTHER,COMPASSION,CONTEXT FACE,EMOFADED
443.0,445.0,MRSGUMP,LOW,NEG,OTHER,CONTEMPT,VERBAL,CHARLEFT
445.0,448.0,MAN,LOW,NEG,OTHER,FEARSCONFIRMED,AUDIO,SCENEEND
448.0,456.0,FORRESTVO,HIGH,POS,OTHER,ADMIRATION,VERBAL,CHARLEFT
467.0,500.0,MRSGUMP,LOW,NEG,OTHER,,CONTEXT,SCENEEND
471.0,477.0,MAN,LOW,NEG,OTHER,CONTEMPT,FACE,CHARLEFT
493.0,500.0,MAN,LOW,POS,OTHER,ADMIRATION,FACE,SCENEEND
500.0,507.0,FORREST,HIGH,NEG,OTHER,FEAR,CONTEXT FACE,SCENEEND
500.0,507.0,MAN,HIGH,POS,OTHER,GRATIFICATION,VERBAL,SCENEEND
507.0,512.0,MAN,HIGH,POS,OTHER,HOPE,CONTEXT VERBAL,CHARLEFT
512.0,517.0,MRSGUMP,LOW,NEG,OTHER,,FACE,SCENEEND
534.0,540.0,MAN,LOW,POS,OTHER,,CONTEXT,EMOFADED
572.0,580.0,MRSGUMP,HIGH,NEG,OTHER,CONTEMPT,CONTEXT GESTURE,EMOFADED
587.0,595.0,FORRESTVO,HIGH,POS,OTHER,HAPPINESS,CONTEXT,SCENEEND
603.0,611.0,FORRESTVO,HIGH,POS,OTHER,ADMIRATION,VERBAL,EMOFADED
633.0,640.0,MRSGUMP,LOW,NEG,OTHER,ANGERRAGE,FACE VERBAL,EMOCHANGE
640.0,644.0,MRSGUMP,LOW,POS,OTHER,RELIEF,CONTEXT VERBAL,CHARLEFT
644.0,647.0,ELVISPRESLEY,HIGH,POS,OTHER,GRATITUDE,VERBAL,EMOCHANGE
647.0,669.0,ELVISPRESLEY,HIGH,POS,OTHER,HAPPINESS,CONTEXT VERBAL,SCENEEND
652.0,669.0,FORREST,HIGH,POS,OTHER,HAPPINESS,CONTEXT,SCENEEND
654.0,669.0,FORRESTVO,HIGH,POS,OTHER,HAPPINESS,VERBAL,SCENEEND
673.0,675.0,FORRESTVO,HIGH,POS,OTHER,,VERBAL,EMOFADED
681.0,690.0,MRSGUMP,HIGH,NEG,OTHER,CONTEMPT,FACE,CHARLEFT
708.0,713.0,WOMAN,LOW,NEG,OTHER,CONTEMPT,FACE,SCENEEND
718.0,720.0,MRSGUMP,HIGH,POS,OTHER,LOVE,GESTURE,EMOFADED
723.0,728.0,WOMAN,LOW,NEG,OTHER,CONTEMPT,FACE,EMOFADED
744.0,745.0,WOMAN,LOW,POS,OTHER,,FACE,CHARLEFT
756.0,758.0,BOY,HIGH,NEG,OTHER,CONTEMPT,FACE,CHARLEFT
759.0,778.0,FORREST,LOW,NEG,SELF,SADNESS,CONTEXT,SCENEEND
760.0,762.0,BOY,LOW,NEG,OTHER,CONTEMPT,VERBAL,CHARLEFT
762.0,764.0,GIRL,LOW,NEG,OTHER,,GESTURE,CHARLEFT
767.0,770.0,BOY,LOW,NEG,OTHER,CONTEMPT,VERBAL,CHARLEFT
787.0,791.0,FORREST,HIGH,POS,OTHER,LOVE,VERBAL,SCENEEND
791.0,804.0,FORRESTVO,HIGH,POS,OTHER,LOVE,VERBAL,CHARLEFT
800.0,808.0,FORREST,HIGH,POS,OTHER,ADMIRATION,FACE,EMOFADED
819.0,847.0,FORRESTVO,HIGH,POS,OTHER,ADMIRATION,VERBAL,SCENEEND
847.0,865.0,FORRESTVO,HIGH,POS,OTHER,LOVE,CONTEXT,SCENEEND
865.0,886.0,FORRESTVO,HIGH,POS,OTHER,LOVE,VERBAL,SCENEEND
888.0,892.0,FORREST,HIGH,NEG,OTHER,SADNESS,FACE,EMOCHANGE
894.0,899.0,FORREST,LOW,POS,OTHER,,VERBAL,SCENEEND
902.0,976.0,BOY,HIGH,NEG,OTHER,HATE,CONTEXT,CHARLEFT
903.0,976.0,BOY,HIGH,NEG,OTHER,HATE,GESTURE,CHARLEFT
903.0,976.0,BOY,HIGH,NEG,OTHER,HATE,GESTURE,CHARLEFT
905.0,913.0,FORREST,LOW,NEG,OTHER,,CONTEXT,EMOCHANGE
909.0,926.0,JENNY,LOW,NEG,OTHER,,CONTEXT,CHARLEFT
