start,end,character,arousal,valence,direction,emotion,oncue,offcue
132.0,159.0,FORREST,LOW,POS,OTHER,LOVE,GESTURE FACE,EMOFADED
191.0,272.0,FORREST,LOW,POS,SELF,,VERBAL,SCENEEND
239.0,252.0,WOMAN,LOW,NEG,SELF,,VERBAL,EMOCHANGE
252.0,260.0,WOMAN,LOW,POS,SELF,,GESTURE,CHARLEFT
272.0,279.0,FORREST,LOW,NEG,SELF,FEAR,FACE,EMOCHANGE
279.0,312.0,FORREST,HIGH,POS,SELF,,FACE,SCENEEND
311.0,312.0,MRSGUMP,HIGH,NEG,OTHER,FEAR,GESTURE FACE VERBAL,SCENEEND
317.0,318.0,FORREST,LOW,NEG,SELF,,FACE,SCENEEND
318.0,319.0,MRSGUMP,LOW,NEG,SELF,,FACE,SCENEEND
318.0,343.0,FORRESTVO,LOW,POS,SELF,,VERBAL,SCENEEND
352.0,386.0,FORREST,LOW,NEG,SELF,,CONTEXT,SCENEEND
353.0,365.0,MRSGUMP,LOW,NEG,SELF,,GESTURE FACE,EMOCHANGE
365.0,371.0,MRSGUMP,HIGH,NEG,OTHER,ANGERRAGE,FACE VERBAL,EMOCHANGE
365.0,371.0,MRSGUMP,HIGH,NEG,SELF,SHAME,CONTEXT,EMOFADED
374.0,383.0,MRSGUMP,LOW,NEG,OTHER,COMPASSION,VERBAL,CHARLEFT
418.0,421.0,FORRESTVO,LOW,POS,OTHER,LOVE,VERBAL,CHARLEFT
421.0,434.0,MRSGUMP,LOW,POS,OTHER,LOVE,VERBAL,SCENEEND
435.0,447.0,MAN,LOW,NEG,OTHER,,AUDIO FACE VERBAL,SCENEEND
440.0,447.0,MRSGUMP,LOW,NEG,OTHER,ANGERRAGE,FACE VERBAL,SCENEEND
448.0,463.0,FORREST,LOW,NEG,SELF,,CONTEXT,SCENEEND
472.0,497.0,MAN,LOW,NEG,OTHER,,GESTURE FACE VERBAL,CHARLEFT
477.0,478.0,MRSGUMP,LOW,NEG,SELF,SADNESS,FACE,EMOFADED
486.0,500.0,MRSGUMP,LOW,NEG,SELF,ANGERRAGE,FACE VERBAL,SCENEEND
500.0,508.0,FORREST,LOW,NEG,SELF,,CONTEXT,SCENEEND
500.0,508.0,MAN,LOW,NEG,SELF,,FACE VERBAL,SCENEEND
508.0,517.0,MAN,LOW,POS,OTHER,,VERBAL,SCENEEND
513.0,517.0,MRSGUMP,LOW,NEG,OTHER,CONTEMPT,FACE,SCENEEND
517.0,556.0,FORREST,LOW,NEG,SELF,,AUDIO FACE,SCENEEND
529.0,549.0,MAN,LOW,POS,SELF,,AUDIO VERBAL,EMOCHANGE
549.0,556.0,MAN,LOW,NEG,SELF,SHAME,GESTURE,SCENEEND
567.0,575.0,MRSGUMP,LOW,NEG,OTHER,,FACE VERBAL,EMOCHANGE
570.0,577.0,FORREST,LOW,NEG,SELF,,GESTURE FACE,EMOCHANGE
575.0,583.0,MRSGUMP,HIGH,NEG,SELF,SADNESS,FACE VERBAL,CHARLEFT
577.0,587.0,FORREST,HIGH,NEG,SELF,FEARSCONFIRMED,GESTURE FACE,SCENEEND
583.0,587.0,FORRESTVO,LOW,NEG,SELF,SADNESS,VERBAL,SCENEEND
587.0,595.0,FORRESTVO,LOW,POS,SELF,HAPPINESS,VERBAL,SCENEEND
597.0,599.0,MAN,LOW,POS,SELF,HAPPINESS,VERBAL,CHARLEFT
600.0,619.0,FORRESTVO,LOW,POS,SELF,HAPPINESS,VERBAL,CHARLEFT
600.0,611.0,FORRESTVO,LOW,POS,OTHER,ADMIRATION,VERBAL,CHARLEFT
601.0,605.0,MRSGUMP,LOW,NEG,OTHER,CONTEMPT,VERBAL,EMOFADED
629.0,670.0,ELVISPRESLEY,LOW,POS,SELF,,CONTEXT VERBAL,SCENEEND
630.0,670.0,FORREST,LOW,POS,SELF,HAPPINESS,CONTEXT,SCENEEND
633.0,646.0,MRSGUMP,LOW,NEG,OTHER,CONTEMPT,FACE VERBAL,CHARLEFT
655.0,670.0,FORRESTVO,HIGH,POS,SELF,HAPPINESS,VERBAL,SCENEEND
672.0,693.0,FORREST,LOW,POS,SELF,,CONTEXT,CHARLEFT
680.0,690.0,MRSGUMP,HIGH,NEG,OTHER,CONTEMPT,GESTURE FACE VERBAL,CHARLEFT
703.0,713.0,WOMAN,LOW,POS,SELF,,GESTURE,SCENEEND
703.0,710.0,FORREST,LOW,NEG,OTHER,COMPASSION,VERBAL,EMOCHANGE
710.0,713.0,FORREST,LOW,POS,SELF,,FACE VERBAL,SCENEEND
712.0,722.0,MRSGUMP,LOW,POS,OTHER,LOVE,GESTURE VERBAL,CHARLEFT
725.0,736.0,FORREST,LOW,NEG,SELF,,GESTURE FACE,EMOFADED
726.0,744.0,WOMAN,LOW,NEG,OTHER,CONTEMPT,FACE VERBAL,EMOCHANGE
744.0,748.0,WOMAN,LOW,POS,OTHER,HAPPINESS,AUDIO FACE,CHARLEFT
756.0,760.0,BOY,LOW,NEG,OTHER,CONTEMPT,FACE VERBAL,CHARLEFT
758.0,779.0,FORREST,LOW,NEG,SELF,SADNESS,CONTEXT FACE,SCENEEND
760.0,761.0,BOY,LOW,NEG,OTHER,CONTEMPT,GESTURE FACE VERBAL,CHARLEFT
762.0,765.0,GIRL,LOW,NEG,OTHER,,GESTURE FACE,CHARLEFT
769.0,770.0,BOY,LOW,NEG,OTHER,CONTEMPT,GESTURE FACE VERBAL,CHARLEFT
787.0,791.0,FORREST,LOW,POS,OTHER,LOVE,FACE VERBAL,SCENEEND
791.0,795.0,FORREST,HIGH,NEG,SELF,SADNESS,FACE,EMOCHANGE
794.0,812.0,JENNY,LOW,NEG,OTHER,COMPASSION,VERBAL,EMOFADED
