start,end,character,arousal,valence,direction,emotion,oncue,offcue
192.0,209.0,FORREST,LOW,POS,SELF,HAPPINESS,FACE VERBAL,EMOFADED
272.0,279.0,FORREST,HIGH,NEG,SELF,FEAR,FACE,EMOCHANGE
279.0,288.0,FORREST,LOW,NEG,SELF,,FACE,EMOFADED
304.0,308.0,MRSGUMP,LOW,POS,OTHER,HOPE,CONTEXT FACE,EMOCHANGE
308.0,311.0,MRSGUMP,LOW,POS,OTHER,LOVE,FACE,EMOCHANGE
311.0,312.0,MRSGUMP,HIGH,NEG,OTHER,FEAR,GESTURE FACE,SCENEEND
312.0,318.0,FORRESTVO,LOW,POS,SELF,,CONTEXT VERBAL,SCENEEND
318.0,343.0,FORRESTVO,LOW,POS,SELF,HAPPINESS,CONTEXT VERBAL,SCENEEND
343.0,351.0,FORRESTVO,LOW,POS,SELF,HAPPINESS,CONTEXT VERBAL,EMOFADED
343.0,352.0,MRSGUMP,LOW,POS,SELF,HAPPINESS,FACE,EMOCHANGE
352.0,364.0,MRSGUMP,LOW,NEG,SELF,,CONTEXT,EMOCHANGE
357.0,375.0,OLDMAN,LOW,POS,OTHER,GLOATING,CONTEXT FACE,EMOFADED
364.0,367.0,MRSGUMP,LOW,POS,OTHER,RELIEF,CONTEXT FACE,EMOCHANGE
367.0,374.0,MRSGUMP,HIGH,NEG,SELF,ANGERRAGE,CONTEXT VERBAL,EMOCHANGE
374.0,386.0,MRSGUMP,LOW,NEG,SELF,ANGERRAGE,CONTEXT VERBAL,SCENEEND
374.0,386.0,MRSGUMP,LOW,NEG,SELF,SADNESS,CONTEXT FACE VERBAL,SCENEEND
383.0,386.0,FORRESTVO,LOW,NEG,SELF,SADNESS,VERBAL,SCENEEND
418.0,420.0,FORRESTVO,LOW,POS,OTHER,ADMIRATION,CONTEXT VERBAL,CHARLEFT
422.0,434.0,MRSGUMP,LOW,NEG,OTHER,FEAR,CONTEXT,SCENEEND
435.0,448.0,MAN,LOW,NEG,SELF,COMPASSION,FACE VERBAL,SCENEEND
442.0,448.0,MRSGUMP,LOW,POS,SELF,,FACE VERBAL,SCENEEND
448.0,458.0,FORRESTVO,LOW,POS,SELF,,CONTEXT VERBAL,CHARLEFT
463.0,478.0,MAN,LOW,NEG,OTHER,GLOATING,FACE VERBAL,EMOFADED
480.0,485.0,MRSGUMP,LOW,NEG,SELF,FEARSCONFIRMED,CONTEXT FACE VERBAL,EMOCHANGE
485.0,497.0,MRSGUMP,HIGH,NEG,OTHER,ANGERRAGE,FACE VERBAL,EMOCHANGE
497.0,500.0,MRSGUMP,LOW,POS,SELF,HOPE,FACE VERBAL,SCENEEND
500.0,508.0,FORREST,LOW,NEG,SELF,FEAR,FACE,SCENEEND
508.0,517.0,MAN,HIGH,POS,SELF,HAPPINESS,FACE VERBAL,SCENEEND
513.0,517.0,MRSGUMP,LOW,NEG,SELF,SHAME,CONTEXT FACE,SCENEEND
517.0,529.0,FORREST,LOW,NEG,SELF,SADNESS,CONTEXT FACE,EMOCHANGE
528.0,541.0,MAN,LOW,POS,SELF,HAPPINESS,CONTEXT FACE,EMOFADED
529.0,556.0,FORREST,LOW,NEG,OTHER,ANGERRAGE,AUDIO CONTEXT FACE,SCENEEND
551.0,556.0,MAN,LOW,NEG,SELF,SHAME,CONTEXT FACE,SCENEEND
555.0,564.0,FORREST,LOW,NEG,SELF,,GESTURE FACE,EMOFADED
556.0,570.0,MRSGUMP,LOW,POS,SELF,HAPPINESS,CONTEXT GESTURE VERBAL,EMOCHANGE
572.0,586.0,MRSGUMP,HIGH,NEG,OTHER,ANGERRAGE,CONTEXT VERBAL,SCENEEND
587.0,595.0,MRSGUMP,LOW,POS,SELF,HAPPINESS,CONTEXT VERBAL,SCENEEND
589.0,595.0,FORRESTVO,LOW,POS,SELF,HAPPINESS,CONTEXT VERBAL,SCENEEND
595.0,608.0,MRSGUMP,LOW,POS,SELF,GRATIFICATION,CONTEXT FACE,EMOFADED
599.0,611.0,FORRESTVO,LOW,POS,SELF,HAPPINESS,CONTEXT VERBAL,EMOFADED
611.0,613.0,MRSGUMP,LOW,NEG,OTHER,ANGERRAGE,VERBAL,EMOFADED
615.0,621.0,MRSGUMP,LOW,NEG,OTHER,DISAPPOINTMENT,FACE VERBAL,EMOFADED
628.0,634.0,ELVISPRESLEY,LOW,POS,SELF,HAPPINESS,CONTEXT,EMOFADED
630.0,634.0,FORREST,LOW,POS,SELF,HAPPINESS,CONTEXT GESTURE,EMOCHANGE
633.0,637.0,MRSGUMP,LOW,NEG,SELF,ANGERRAGE,FACE VERBAL,EMOCHANGE
634.0,641.0,FORREST,LOW,NEG,SELF,FEAR,CONTEXT FACE,EMOFADED
