start,end,character,arousal,valence,direction,emotion,oncue,offcue
133.0,189.0,FORREST,LOW,NEG,SELF,,FACE,EMOCHANGE
181.0,232.0,WOMAN,LOW,POS,SELF,,GESTURE,EMOCHANGE
189.0,272.0,FORREST,LOW,POS,OTHER,HAPPINESS,AUDIO GESTURE FACE VERBAL,SCENEEND
232.0,262.0,WOMAN,LOW,NEG,OTHER,,FACE VERBAL,CHARLEFT
272.0,310.0,FORREST,LOW,NEG,SELF,,CONTEXT FACE,SCENEEND
273.0,276.0,FORRESTVO,LOW,POS,SELF,,VERBAL,CHARLEFT
275.0,312.0,MAN,LOW,POS,OTHER,,FACE VERBAL,SCENEEND
290.0,310.0,MRSGUMP,LOW,NEG,OTHER,COMPASSION,GESTURE FACE,EMOCHANGE
310.0,312.0,MRSGUMP,HIGH,NEG,OTHER,FEAR,FACE VERBAL,SCENEEND
313.0,318.0,FORRESTVO,LOW,POS,SELF,,VERBAL,SCENEEND
316.0,318.0,FORREST,LOW,NEG,SELF,,CONTEXT FACE,SCENEEND
317.0,318.0,MRSGUMP,LOW,NEG,SELF,,FACE,SCENEEND
318.0,343.0,FORRESTVO,LOW,POS,SELF,,VERBAL,SCENEEND
343.0,352.0,MRSGUMP,LOW,POS,SELF,,CONTEXT FACE,EMOCHANGE
343.0,386.0,FORREST,LOW,NEG,SELF,,CONTEXT FACE,SCENEEND
343.0,386.0,FORRESTVO,LOW,POS,SELF,,VERBAL,SCENEEND
352.0,386.0,MRSGUMP,HIGH,NEG,OTHER,,FACE VERBAL,SCENEEND
356.0,386.0,OLDMEN,LOW,NEG,OTHER,,FACE,SCENEEND
386.0,435.0,FORREST,LOW,NEG,SELF,,CONTEXT FACE,SCENEEND
386.0,435.0,MRSGUMP,LOW,NEG,OTHER,,FACE VERBAL,SCENEEND
387.0,420.0,FORRESTVO,LOW,POS,SELF,,VERBAL,CHARLEFT
434.0,448.0,MAN,LOW,NEG,OTHER,,AUDIO FACE VERBAL,SCENEEND
440.0,448.0,MRSGUMP,LOW,POS,SELF,,FACE VERBAL,SCENEEND
448.0,463.0,FORREST,LOW,NEG,SELF,,GESTURE FACE,SCENEEND
448.0,457.0,FORRESTVO,LOW,POS,SELF,,VERBAL,CHARLEFT
457.0,463.0,MAN,LOW,POS,OTHER,,VERBAL,SCENEEND
462.0,494.0,MAN,LOW,POS,OTHER,GLOATING,FACE VERBAL,EMOCHANGE
467.0,500.0,MRSGUMP,HIGH,NEG,OTHER,,FACE VERBAL,SCENEEND
494.0,500.0,MAN,LOW,NEG,OTHER,,FACE,SCENEEND
500.0,508.0,FORREST,LOW,NEG,OTHER,,CONTEXT FACE,SCENEEND
500.0,508.0,MAN,LOW,POS,OTHER,,CONTEXT VERBAL,SCENEEND
508.0,517.0,MAN,LOW,POS,OTHER,,FACE VERBAL,CHARLEFT
513.0,517.0,MRSGUMP,LOW,NEG,OTHER,,FACE VERBAL,SCENEEND
517.0,548.0,FORREST,LOW,NEG,OTHER,,FACE,EMOCHANGE
527.0,548.0,MAN,HIGH,POS,OTHER,,CONTEXT FACE VERBAL,EMOCHANGE
548.0,555.0,FORREST,LOW,POS,OTHER,,AUDIO CONTEXT FACE,SCENEEND
548.0,555.0,MAN,LOW,NEG,OTHER,,CONTEXT FACE,SCENEEND
555.0,571.0,MRSGUMP,LOW,POS,SELF,,GESTURE VERBAL,EMOCHANGE
555.0,586.0,FORREST,LOW,NEG,SELF,,CONTEXT GESTURE FACE,SCENEEND
571.0,586.0,MRSGUMP,LOW,NEG,OTHER,SADNESS,AUDIO GESTURE FACE VERBAL,SCENEEND
583.0,586.0,FORRESTVO,LOW,NEG,SELF,SADNESS,CONTEXT VERBAL,SCENEEND
587.0,595.0,WOMEN,LOW,POS,OTHER,,AUDIO,SCENEEND
588.0,595.0,FORRESTVO,LOW,POS,SELF,,VERBAL,SCENEEND
595.0,633.0,MRSGUMP,HIGH,POS,OTHER,,GESTURE FACE VERBAL,EMOCHANGE
597.0,609.0,CROWD,LOW,POS,OTHER,,FACE,CHARLEFT
598.0,670.0,FORRESTVO,LOW,POS,SELF,,AUDIO VERBAL,SCENEEND
628.0,670.0,ELVISPRESLEY,LOW,POS,OTHER,,GESTURE VERBAL,SCENEEND
629.0,670.0,FORREST,LOW,POS,SELF,,GESTURE FACE,SCENEEND
633.0,640.0,MRSGUMP,LOW,NEG,OTHER,,FACE VERBAL,EMOCHANGE
640.0,647.0,MRSGUMP,LOW,POS,SELF,,FACE VERBAL,CHARLEFT
669.0,702.0,FORRESTVO,LOW,POS,SELF,,VERBAL,SCENEEND
672.0,702.0,ELVISPRESLEY,HIGH,POS,SELF,,CONTEXT GESTURE FACE,SCENEEND
680.0,690.0,MRSGUMP,HIGH,NEG,OTHER,,GESTURE FACE VERBAL,CHARLEFT
680.0,693.0,FORREST,LOW,NEG,OTHER,,CONTEXT GESTURE FACE,CHARLEFT
703.0,713.0,FORREST,LOW,POS,SELF,,FACE VERBAL,SCENEEND
703.0,713.0,WOMAN,LOW,NEG,OTHER,,FACE,SCENEEND
713.0,752.0,FORREST,LOW,POS,SELF,,CONTEXT FACE,SCENEEND
713.0,722.0,MRSGUMP,LOW,POS,OTHER,,GESTURE FACE VERBAL,CHARLEFT
718.0,724.0,FORRESTVO,LOW,POS,SELF,,VERBAL,CHARLEFT
722.0,740.0,WOMAN,LOW,NEG,SELF,,FACE VERBAL,EMOCHANGE
740.0,749.0,WOMAN,LOW,POS,OTHER,,FACE,CHARLEFT
752.0,758.0,FORREST,LOW,POS,SELF,HOPE,CONTEXT FACE,EMOCHANGE
755.0,761.0,BOY,HIGH,NEG,OTHER,CONTEMPT,GESTURE FACE VERBAL,CHARLEFT
757.0,761.0,BOY,HIGH,NEG,OTHER,CONTEMPT,GESTURE FACE VERBAL,CHARLEFT
758.0,778.0,FORREST,LOW,NEG,SELF,SADNESS,CONTEXT GESTURE FACE,SCENEEND
762.0,765.0,GIRL,LOW,NEG,OTHER,,GESTURE FACE,CHARLEFT
767.0,773.0,BOY,HIGH,NEG,OTHER,CONTEMPT,GESTURE FACE VERBAL,EMOFADED
771.0,778.0,FORRESTVO,LOW,POS,SELF,,VERBAL,SCENEEND
779.0,786.0,FORREST,LOW,POS,SELF,,FACE VERBAL,EMOCHANGE
786.0,791.0,FORREST,LOW,POS,OTHER,LOVE,FACE VERBAL,SCENEEND
791.0,796.0,FORREST,LOW,NEG,SELF,,CONTEXT FACE,EMOCHANGE
791.0,847.0,FORRESTVO,LOW,POS,OTHER,LOVE,VERBAL,SCENEEND
793.0,847.0,JENNY,LOW,POS,OTHER,,GESTURE FACE VERBAL,SCENEEND
796.0,847.0,FORREST,HIGH,POS,OTHER,LOVE,GESTURE FACE,SCENEEND
847.0,864.0,JENNY,LOW,POS,OTHER,HAPPINESS,GESTURE FACE,CHARLEFT
847.0,864.0,FORRESTVO,LOW,POS,OTHER,,VERBAL,CHARLEFT
848.0,865.0,FORREST,LOW,POS,OTHER,HAPPINESS,GESTURE FACE,SCENEEND
866.0,886.0,FORRESTVO,LOW,POS,OTHER,LOVE,VERBAL,SCENEEND
870.0,886.0,FORREST,LOW,POS,OTHER,,CONTEXT,SCENEEND
873.0,882.0,JENNY,LOW,NEG,OTHER,LOVE,GESTURE VERBAL,EMOCHANGE
882.0,886.0,JENNY,LOW,POS,OTHER,HAPPINESS,GESTURE FACE,SCENEEND
886.0,894.0,FORREST,LOW,NEG,SELF,SADNESS,FACE VERBAL,EMOCHANGE
892.0,900.0,WOMAN,LOW,POS,OTHER,,CONTEXT GESTURE FACE,SCENEEND
894.0,900.0,FORREST,LOW,POS,SELF,,FACE VERBAL,SCENEEND
899.0,911.0,JENNY,LOW,NEG,OTHER,COMPASSION,GESTURE FACE VERBAL,EMOCHANGE
900.0,975.0,BOY,HIGH,NEG,OTHER,CONTEMPT,GESTURE FACE VERBAL,CHARLEFT
900.0,975.0,BOY,HIGH,NEG,OTHER,CONTEMPT,GESTURE FACE VERBAL,CHARLEFT
900.0,975.0,BOY,HIGH,NEG,OTHER,CONTEMPT,GESTURE FACE VERBAL,CHARLEFT
900.0,928.0,FORREST,LOW,NEG,OTHER,ANGERRAGE,CONTEXT,EMOCHANGE
911.0,927.0,JENNY,HIGH,NEG,OTHER,FEAR,GESTURE FACE VERBAL,CHARLEFT
928.0,968.0,FORREST,HIGH,NEG,OTHER,FEAR,AUDIO CONTEXT GESTURE FACE,EMOCHANGE
968.0,980.0,FORREST,HIGH,POS,SELF,,GESTURE FACE,SCENEEND
977.0,980.0,FORRESTVO,LOW,POS,SELF,,VERBAL,SCENEEND
