start,end,character,arousal,valence,direction,emotion,oncue,offcue
203.0,242.0,WOMAN,LOW,NEG,OTHER,,GESTURE,EMOCHANGE
253.0,260.0,WOMAN,LOW,POS,OTHER,,FACE,CHARLEFT
279.0,287.0,FORREST,HIGH,NEG,SELF,,FACE,EMOFADED
303.0,311.0,MRSGUMP,LOW,POS,OTHER,,FACE,EMOCHANGE
311.0,312.0,MRSGUMP,HIGH,NEG,OTHER,FEAR,FACE,SCENEEND
366.0,372.0,MRSGUMP,LOW,NEG,OTHER,ANGERRAGE,VERBAL,EMOCHANGE
373.0,382.0,MRSGUMP,LOW,POS,OTHER,,VERBAL,CHARLEFT
382.0,385.0,FORRESTVO,LOW,POS,OTHER,ADMIRATION GRATITUDE,VERBAL,SCENEEND
418.0,420.0,FORRESTVO,LOW,POS,OTHER,SATISFACTION PRIDE,VERBAL,CHARLEFT
421.0,434.0,MRSGUMP,LOW,POS,OTHER,PRIDE,VERBAL,SCENEEND
434.0,447.0,MAN,LOW,NEG,OTHER,COMPASSION,VERBAL,SCENEEND
442.0,445.0,MRSGUMP,LOW,POS,SELF,SATISFACTION,VERBAL,CHARLEFT
462.0,478.0,MAN,LOW,POS,OTHER,GLOATING,VERBAL,EMOFADED
478.0,500.0,MRSGUMP,LOW,POS,OTHER,,VERBAL,SCENEEND
500.0,507.0,FORREST,LOW,NEG,SELF,,FACE,SCENEEND
502.0,507.0,MAN,LOW,POS,SELF,GRATIFICATION,VERBAL,SCENEEND
509.0,512.0,MAN,LOW,POS,OTHER,GRATIFICATION,VERBAL,CHARLEFT
514.0,516.0,MRSGUMP,LOW,NEG,OTHER,,FACE,SCENEEND
532.0,540.0,MAN,LOW,POS,OTHER,ADMIRATION,AUDIO VERBAL,EMOFADED
551.0,555.0,MAN,LOW,NEG,OTHER,CONTEMPT,FACE,SCENEEND
572.0,584.0,MRSGUMP,LOW,NEG,SELF,SADNESS,FACE,SCENEEND
588.0,594.0,FORRESTVO,LOW,POS,SELF,SATISFACTION,VERBAL,SCENEEND
597.0,598.0,MAN,LOW,POS,OTHER,GRATITUDE ADMIRATION,FACE VERBAL,CHARLEFT
614.0,638.0,MRSGUMP,LOW,NEG,OTHER,,FACE VERBAL,EMOFADED
644.0,652.0,ELVISPRESLEY,LOW,POS,OTHER,GRATITUDE ADMIRATION,VERBAL,EMOFADED
654.0,669.0,FORRESTVO,LOW,POS,SELF,HAPPINESS,VERBAL,SCENEEND
681.0,690.0,MRSGUMP,LOW,NEG,OTHER,CONTEMPT,FACE VERBAL,CHARLEFT
691.0,693.0,FORREST,LOW,NEG,OTHER,ANGERRAGE,FACE,SCENEEND
704.0,709.0,FORREST,LOW,NEG,OTHER,COMPASSION,FACE VERBAL,EMOFADED
707.0,710.0,WOMAN,LOW,NEG,SELF,,FACE,EMOFADED
716.0,719.0,MRSGUMP,LOW,POS,OTHER,LOVE,VERBAL,CHARLEFT
722.0,733.0,WOMAN,LOW,NEG,OTHER,,FACE,EMOCHANGE
744.0,745.0,WOMAN,LOW,POS,OTHER,,FACE,CHARLEFT
757.0,759.0,BOY,LOW,NEG,OTHER,CONTEMPT,FACE VERBAL,CHARLEFT
760.0,761.0,BOY,LOW,NEG,OTHER,CONTEMPT,FACE VERBAL,CHARLEFT
761.0,778.0,FORREST,LOW,NEG,SELF,DISAPPOINTMENT,CONTEXT FACE,SCENEEND
769.0,771.0,BOY,LOW,NEG,OTHER,CONTEMPT,FACE VERBAL,CHARLEFT
786.0,791.0,FORREST,LOW,POS,SELF,SATISFACTION ADMIRATION,FACE VERBAL,SCENEEND
791.0,793.0,FORRESTVO,LOW,POS,OTHER,LOVE,VERBAL,EMOFADED
799.0,804.0,FORRESTVO,LOW,POS,OTHER,LOVE ADMIRATION,VERBAL,EMOFADED
808.0,809.0,FORREST,LOW,POS,SELF,HAPPINESS,FACE,EMOFADED
810.0,816.0,JENNY,LOW,NEG,OTHER,COMPASSION,FACE,EMOFADED
843.0,847.0,FORRESTVO,LOW,POS,OTHER,SATISFACTION LOVE,VERBAL,SCENEEND
851.0,865.0,FORRESTVO,LOW,POS,OTHER,LOVE HAPPINESS,VERBAL,SCENEEND
865.0,870.0,FORRESTVO,LOW,POS,SELF,HAPPINESS,VERBAL,EMOFADED
873.0,881.0,JENNY,LOW,NEG,SELF,,VERBAL,EMOFADED
884.0,886.0,FORRESTVO,LOW,POS,OTHER,LOVE,VERBAL,SCENEEND
886.0,894.0,FORREST,LOW,NEG,OTHER,LOVE,FACE,EMOFADED
903.0,908.0,BOY,HIGH,NEG,OTHER,CONTEMPT,GESTURE VERBAL,EMOFADED
