start,end,character,arousal,valence,direction,emotion,oncue,offcue
966.0,980.0,FORREST,HIGH,POS,SELF,RELIEF,FACE,SCENEEND
980.0,985.0,FORREST,HIGH,POS,SELF,PRIDE,FACE,EMOCHANGE
986.0,991.0,FORREST,HIGH,POS,SELF,HAPPINESS,AUDIO,SCENEEND
992.0,1001.0,BOY,HIGH,NEG,OTHER,ANGERRAGE,AUDIO GESTURE VERBAL,CHARLEFT
1024.0,1027.0,MAN,LOW,NEG,OTHER,CONTEMPT,VERBAL,SCENEEND
1062.0,1100.0,JENNY,HIGH,NEG,OTHER,FEAR,AUDIO CONTEXT GESTURE FACE VERBAL,CHARLEFT
1065.0,1086.0,JENNYSDAD,HIGH,NEG,OTHER,ANGERRAGE,AUDIO GESTURE FACE,CHARLEFT
1102.0,1110.0,FORRESTVO,HIGH,NEG,OTHER,COMPASSION,AUDIO,SCENEEND
1117.0,1124.0,FORRESTVO,HIGH,POS,OTHER,HAPPINESS,AUDIO VERBAL,SCENEEND
1124.0,1136.0,JENNY,HIGH,NEG,SELF,FEAR,VERBAL,SCENEEND
1132.0,1136.0,FORRESTVO,LOW,NEG,OTHER,COMPASSION,AUDIO,SCENEEND
1136.0,1144.0,FORREST,LOW,POS,OTHER,ADMIRATION,FACE,SCENEEND
1136.0,1144.0,JENNY,HIGH,POS,OTHER,LOVE,GESTURE,SCENEEND
1142.0,1144.0,FORRESTVO,LOW,POS,OTHER,LOVE,AUDIO,SCENEEND
1147.0,1172.0,OLDERBOYS,HIGH,NEG,OTHER,GLOATING,AUDIO,SCENEEND
1148.0,1150.0,JENNY,HIGH,NEG,OTHER,ANGERRAGE,VERBAL,EMOCHANGE
1151.0,1163.0,JENNY,HIGH,NEG,OTHER,FEAR,VERBAL,CHARLEFT
1156.0,1172.0,FORREST,HIGH,NEG,OTHER,FEAR,GESTURE,SCENEEND
1171.0,1173.0,OLDERBOYS,HIGH,NEG,OTHER,GLOATING,AUDIO,SCENEEND
1171.0,1173.0,FORREST,HIGH,NEG,OTHER,FEAR,CONTEXT,SCENEEND
1173.0,1194.0,OLDERBOYS,HIGH,NEG,OTHER,GLOATING,AUDIO,SCENEEND
1173.0,1194.0,FORREST,HIGH,NEG,OTHER,FEAR,FACE,SCENEEND
1190.0,1192.0,JENNY,HIGH,NEG,OTHER,FEAR,AUDIO,CHARLEFT
1198.0,1202.0,FORREST,LOW,POS,SELF,GRATIFICATION,FACE,SCENEEND
1202.0,1214.0,OLDERBOYS,HIGH,NEG,OTHER,GLOATING,AUDIO,CHARLEFT
1227.0,1236.0,MAN,LOW,POS,OTHER,ADMIRATION,GESTURE,CHARLEFT
1231.0,1236.0,MAN,LOW,NEG,OTHER,CONTEMPT,VERBAL,CHARLEFT
1236.0,1241.0,FORRESTVO,LOW,POS,SELF,PRIDE,AUDIO,SCENEEND
1251.0,1284.0,MAN,HIGH,NEG,OTHER,HOPE,VERBAL,EMOCHANGE
1285.0,1293.0,MAN,HIGH,POS,OTHER,HAPPINESS,FACE,SCENEEND
1317.0,1347.0,FORREST,HIGH,NEG,OTHER,ANGERRAGE,CONTEXT GESTURE FACE,EMOCHANGE
1334.0,1349.0,JENNY,HIGH,NEG,OTHER,ANGERRAGE,AUDIO CONTEXT GESTURE,EMOCHANGE
1348.0,1383.0,FORREST,LOW,NEG,SELF,REMORSE,GESTURE,EMOFADED
1350.0,1354.0,JENNY,LOW,NEG,OTHER,REMORSE,AUDIO GESTURE,EMOCHANGE
1355.0,1374.0,JENNY,HIGH,NEG,OTHER,CONTEMPT,AUDIO GESTURE VERBAL,EMOCHANGE
1375.0,1385.0,JENNY,LOW,NEG,OTHER,COMPASSION,AUDIO GESTURE FACE,SCENEEND
1385.0,1396.0,JENNY,LOW,NEG,OTHER,FEAR,GESTURE,EMOFADED
1398.0,1441.0,JENNY,LOW,POS,SELF,HOPE,AUDIO VERBAL,EMOCHANGE
1431.0,1457.0,FORREST,HIGH,POS,OTHER,ADMIRATION,GESTURE FACE,EMOCHANGE
1442.0,1511.0,JENNY,LOW,POS,OTHER,ADMIRATION,CONTEXT GESTURE FACE,EMOCHANGE
1458.0,1475.0,FORREST,HIGH,NEG,OTHER,FEAR,GESTURE FACE,EMOCHANGE
1476.0,1478.0,FORREST,HIGH,POS,OTHER,ADMIRATION,GESTURE FACE,EMOCHANGE
1479.0,1508.0,FORREST,HIGH,NEG,OTHER,SHAME,AUDIO CONTEXT GESTURE FACE,EMOCHANGE
1509.0,1525.0,FORREST,HIGH,POS,OTHER,HAPPINESS,AUDIO GESTURE FACE,SCENEEND
1512.0,1525.0,JENNY,LOW,POS,OTHER,HAPPINESS,AUDIO CONTEXT GESTURE FACE,SCENEEND
1525.0,1545.0,CROWD,HIGH,POS,OTHER,HAPPINESS,AUDIO,SCENEEND
1553.0,1556.0,MEN,LOW,POS,OTHER,HAPPINESS,FACE,SCENEEND
1557.0,1580.0,FORRESTVO,HIGH,POS,SELF,HAPPINESS,AUDIO VERBAL,SCENEEND
1580.0,1599.0,FORREST,LOW,NEG,SELF,FEAR,GESTURE,SCENEEND
1597.0,1599.0,PRESIDENTKENNEDY,LOW,POS,OTHER,HAPPINESS,AUDIO,SCENEEND
1628.0,1632.0,FORREST,HIGH,NEG,OTHER,COMPASSION,FACE VERBAL,EMOFADED
1634.0,1646.0,FORRESTVO,LOW,POS,SELF,HAPPINESS,AUDIO,CHARLEFT
1638.0,1643.0,DAN,LOW,POS,OTHER,HAPPYFOR,GESTURE FACE VERBAL,CHARLEFT
1641.0,1643.0,FORREST,LOW,POS,SELF,PRIDE,FACE VERBAL,EMOFADED
1644.0,1659.0,MRSGUMP,HIGH,POS,OTHER,PRIDE,AUDIO GESTURE FACE VERBAL,SCENEEND
1661.0,1670.0,MAN,HIGH,NEG,OTHER,CONTEMPT,AUDIO GESTURE FACE VERBAL,CHARLEFT
1666.0,1686.0,FORREST,LOW,NEG,SELF,SHAME,GESTURE,EMOFADED
1750.0,1759.0,BUBBA,LOW,POS,SELF,HOPE,AUDIO VERBAL,SCENEEND
1766.0,1777.0,MAN,HIGH,POS,OTHER,ADMIRATION,VERBAL,EMOFADED
1819.0,1830.0,MAN,LOW,POS,OTHER,ADMIRATION,VERBAL,EMOFADED
1872.0,1877.0,BUBBA,LOW,NEG,SELF,SADNESS,FACE VERBAL,CHARLEFT
1873.0,1883.0,FORRESTVO,LOW,NEG,SELF,SADNESS,AUDIO VERBAL,EMOFADED
1877.0,1888.0,FORREST,LOW,NEG,SELF,SADNESS,FACE VERBAL,EMOFADED
1932.0,1941.0,CROWD,LOW,POS,OTHER,ADMIRATION,AUDIO GESTURE VERBAL,EMOFADED
1947.0,2016.0,CROWD,LOW,POS,OTHER,ADMIRATION,AUDIO GESTURE VERBAL,EMOFADED
1967.0,2001.0,FORREST,HIGH,POS,OTHER,LOVE,FACE,EMOCHANGE
1974.0,1978.0,FORRESTVO,LOW,POS,OTHER,HAPPYFOR,AUDIO,CHARLEFT
1999.0,2029.0,JENNY,HIGH,NEG,OTHER,ANGERRAGE,GESTURE,SCENEEND
2000.0,2015.0,MAN,HIGH,NEG,OTHER,ANGERRAGE,GESTURE,CHARLEFT
2002.0,2024.0,FORREST,HIGH,NEG,OTHER,ANGERRAGE,FACE,EMOFADED
2030.0,2045.0,JENNY,HIGH,NEG,OTHER,ANGERRAGE,VERBAL,EMOCHANGE
2034.0,2041.0,FORREST,LOW,NEG,OTHER,CONTEMPT,AUDIO,EMOCHANGE
2042.0,2080.0,FORREST,LOW,POS,OTHER,LOVE,VERBAL,EMOCHANGE
2046.0,2051.0,JENNY,LOW,NEG,OTHER,CONTEMPT,FACE,EMOCHANGE
2052.0,2089.0,JENNY,LOW,NEG,OTHER,SADNESS,FACE,EMOCHANGE
2081.0,2094.0,FORREST,LOW,NEG,OTHER,FEAR,FACE,EMOFADED
2090.0,2113.0,JENNY,LOW,NEG,OTHER,FEAR,FACE,EMOCHANGE
2103.0,2115.0,FORREST,LOW,NEG,OTHER,SADNESS,FACE,EMOFADED
2114.0,2150.0,JENNY,LOW,NEG,OTHER,FEAR,FACE,SCENEEND
2135.0,2145.0,FORREST,LOW,POS,OTHER,HOPE,FACE,EMOFADED
2162.0,2167.0,BUBBA,LOW,NEG,OTHER,FEAR,FACE,CHARLEFT
2214.0,2223.0,BUBBA,LOW,POS,OTHER,HOPE,VERBAL,EMOFADED
2229.0,2236.0,DAN,LOW,NEG,OTHER,FEAR,AUDIO,EMOFADED
2254.0,2263.0,DAN,LOW,POS,OTHER,HAPPINESS,FACE,EMOFADED
2290.0,2297.0,DAN,LOW,NEG,OTHER,ANGERRAGE,AUDIO,CHARLEFT
2297.0,2309.0,FORRESTVO,LOW,POS,OTHER,ADMIRATION,VERBAL,SCENEEND
2315.0,2318.0,DAN,LOW,NEG,OTHER,ANGERRAGE,AUDIO,EMOCHANGE
2319.0,2321.0,DAN,LOW,NEG,OTHER,DISAPPOINTMENT,FACE,EMOFADED
2357.0,2360.0,FORREST,LOW,NEG,OTHER,FEAR,VERBAL,EMOFADED
2399.0,2405.0,FORREST,LOW,NEG,OTHER,ANGERRAGE,FACE VERBAL,CHARLEFT
2443.0,2449.0,MAN,LOW,NEG,OTHER,ANGERRAGE,AUDIO FACE VERBAL,CHARLEFT
2446.0,2451.0,MAN,HIGH,NEG,SELF,FEAR,GESTURE FACE,CHARLEFT
2505.0,2509.0,FORRESTVO,LOW,POS,SELF,HAPPINESS,AUDIO,SCENEEND
2520.0,2540.0,BUBBA,HIGH,POS,OTHER,LOVE,AUDIO CONTEXT GESTURE VERBAL,EMOCHANGE
2541.0,2554.0,BUBBA,LOW,POS,OTHER,HOPE,AUDIO VERBAL,EMOCHANGE
2555.0,2583.0,BUBBA,HIGH,POS,OTHER,HAPPINESS,AUDIO FACE VERBAL,SCENEEND
2578.0,2583.0,FORREST,LOW,POS,OTHER,ADMIRATION,AUDIO VERBAL,SCENEEND
2583.0,2601.0,FORREST,HIGH,POS,OTHER,LOVE,CONTEXT GESTURE,SCENEEND
2583.0,2601.0,FORRESTVO,HIGH,POS,OTHER,LOVE,AUDIO VERBAL,SCENEEND
2601.0,2607.0,JENNY,HIGH,POS,OTHER,HAPPINESS,FACE,EMOFADED
2612.0,2617.0,FORREST,HIGH,POS,OTHER,LOVE,VERBAL,SCENEEND
2651.0,2951.0,FORREST,HIGH,NEG,OTHER,FEAR,AUDIO CONTEXT GESTURE FACE VERBAL,EMOCHANGE
2651.0,2717.0,DAN,HIGH,NEG,OTHER,ANGERRAGE,AUDIO CONTEXT GESTURE FACE,EMOFADED
2661.0,2734.0,BUBBA,HIGH,NEG,OTHER,FEAR,AUDIO CONTEXT FACE,CHARLEFT
2751.0,2760.0,FORRESTVO,LOW,NEG,SELF,REMORSE,AUDIO VERBAL,EMOFADED
2834.0,2911.0,DAN,HIGH,NEG,OTHER,ANGERRAGE,AUDIO CONTEXT GESTURE FACE,CHARLEFT
2929.0,3026.0,BUBBA,HIGH,NEG,OTHER,FEAR,AUDIO CONTEXT FACE,EMOCHANGE
2952.0,2960.0,FORREST,HIGH,NEG,OTHER,SADNESS,AUDIO FACE,EMOCHANGE
2961.0,3012.0,FORREST,HIGH,NEG,OTHER,FEAR,CONTEXT GESTURE FACE,EMOFADED
3015.0,3060.0,FORRESTVO,HIGH,NEG,OTHER,SADNESS,AUDIO VERBAL,SCENEEND
3027.0,3060.0,BUBBA,HIGH,NEG,SELF,SADNESS,AUDIO CONTEXT FACE VERBAL,SCENEEND
3042.0,3060.0,FORREST,HIGH,NEG,OTHER,SADNESS,GESTURE FACE,SCENEEND
3060.0,3069.0,FORREST,HIGH,NEG,OTHER,SADNESS,AUDIO CONTEXT FACE,EMOFADED
3064.0,3074.0,MAN,LOW,NEG,OTHER,COMPASSION,FACE,CHARLEFT
3101.0,3102.0,FORRESTVO,LOW,POS,OTHER,ADMIRATION,VERBAL,CHARLEFT
3102.0,3144.0,DAN,LOW,NEG,SELF,SADNESS,FACE,CHARLEFT
3105.0,3117.0,FORREST,LOW,POS,OTHER,ADMIRATION,GESTURE,EMOCHANGE
3118.0,3146.0,FORREST,LOW,POS,OTHER,COMPASSION,FACE,EMOCHANGE
3165.0,3171.0,FORREST,LOW,NEG,OTHER,SADNESS,CONTEXT,SCENEEND
3177.0,3181.0,MAN,LOW,NEG,OTHER,CONTEMPT,VERBAL,CHARLEFT
3221.0,3222.0,MAN,LOW,NEG,OTHER,CONTEMPT,VERBAL,CHARLEFT
3249.0,3252.0,DAN,LOW,NEG,SELF,SADNESS,FACE,SCENEEND
3265.0,3268.0,MAN,LOW,POS,OTHER,ADMIRATION,VERBAL,SCENEEND
3268.0,3273.0,FORREST,HIGH,POS,SELF,HAPPINESS,AUDIO GESTURE FACE,EMOFADED
3306.0,3314.0,PRESIDENTJOHNSON,LOW,POS,OTHER,GRATITUDE,GESTURE VERBAL,EMOFADED
3307.0,3308.0,FORREST,LOW,POS,SELF,PRIDE,GESTURE,EMOFADED
3308.0,3324.0,MRSGUMP,HIGH,POS,OTHER,PRIDE,FACE,SCENEEND
