start,end,character,arousal,valence,direction,emotion,oncue,offcue
130.0,189.0,FORREST,LOW,POS,SELF,,FACE,EMOCHANGE
190.0,240.0,FORREST,LOW,POS,OTHER,,FACE,EMOCHANGE
192.0,253.0,WOMAN,LOW,NEG,OTHER,,GESTURE FACE,EMOCHANGE
245.0,272.0,FORREST,LOW,POS,OTHER,,GESTURE FACE VERBAL,SCENEEND
253.0,260.0,WOMAN,LOW,POS,OTHER,,FACE,CHARLEFT
273.0,281.0,MAN,LOW,POS,OTHER,HAPPYFOR,FACE VERBAL,EMOFADED
278.0,287.0,FORREST,HIGH,POS,SELF,,FACE,EMOCHANGE
287.0,311.0,FORREST,LOW,POS,SELF,,FACE,SCENEEND
311.0,312.0,MRSGUMP,HIGH,NEG,OTHER,,FACE VERBAL,SCENEEND
318.0,335.0,MAN,LOW,POS,SELF,PRIDE,VERBAL,EMOFADED
353.0,382.0,FORREST,LOW,NEG,SELF,,FACE,CHARLEFT
357.0,364.0,MRSGUMP,HIGH,NEG,SELF,,GESTURE FACE,EMOCHANGE
364.0,366.0,MRSGUMP,LOW,POS,OTHER,RELIEF,AUDIO,EMOCHANGE
366.0,372.0,MRSGUMP,HIGH,NEG,OTHER,ANGERRAGE,VERBAL,EMOCHANGE
372.0,383.0,MRSGUMP,LOW,NEG,OTHER,,FACE VERBAL,SCENEEND
426.0,435.0,MRSGUMP,HIGH,POS,OTHER,LOVE,GESTURE FACE VERBAL,CHARLEFT
434.0,447.0,MAN,LOW,NEG,OTHER,COMPASSION,FACE,SCENEEND
441.0,445.0,MRSGUMP,LOW,POS,SELF,,VERBAL,SCENEEND
467.0,478.0,MAN,LOW,NEG,OTHER,,FACE VERBAL,EMOFADED
475.0,498.0,MRSGUMP,HIGH,NEG,SELF,,FACE,EMOCHANGE
493.0,496.0,MAN,LOW,POS,OTHER,,FACE,SCENEEND
498.0,500.0,MRSGUMP,LOW,POS,OTHER,,FACE VERBAL,SCENEEND
500.0,507.0,MAN,LOW,POS,SELF,,GESTURE VERBAL,SCENEEND
507.0,513.0,MAN,HIGH,POS,OTHER,,FACE VERBAL,CHARLEFT
513.0,516.0,MRSGUMP,LOW,NEG,OTHER,,FACE,SCENEEND
519.0,547.0,FORREST,LOW,NEG,SELF,,CONTEXT FACE,EMOCHANGE
519.0,527.0,MAN,HIGH,POS,SELF,,AUDIO,EMOCHANGE
528.0,547.0,MAN,HIGH,POS,SELF,HAPPINESS,FACE,EMOFADED
547.0,550.0,FORREST,HIGH,NEG,OTHER,HATE,AUDIO FACE,SCENEEND
555.0,563.0,FORREST,LOW,NEG,SELF,,FACE,EMOCHANGE
555.0,565.0,MRSGUMP,LOW,POS,SELF,,FACE,EMOCHANGE
571.0,582.0,MRSGUMP,LOW,NEG,SELF,SADNESS,FACE,EMOFADED
578.0,586.0,FORREST,LOW,NEG,SELF,SADNESS,CONTEXT FACE,SCENEEND
597.0,610.0,MRSGUMP,LOW,POS,OTHER,,GESTURE FACE,EMOCHANGE
610.0,614.0,MRSGUMP,LOW,NEG,OTHER,,GESTURE FACE,EMOCHANGE
614.0,633.0,MRSGUMP,LOW,POS,OTHER,,FACE,EMOCHANGE
630.0,634.0,FORREST,HIGH,POS,SELF,HAPPINESS,GESTURE FACE,EMOCHANGE
630.0,639.0,ELVISPRESLEY,LOW,POS,OTHER,,GESTURE VERBAL,EMOCHANGE
633.0,640.0,MRSGUMP,LOW,NEG,SELF,ANGERRAGE,FACE VERBAL,EMOCHANGE
634.0,651.0,FORREST,LOW,NEG,SELF,FEAR,FACE,EMOCHANGE
640.0,645.0,MRSGUMP,LOW,POS,OTHER,HAPPINESS,AUDIO FACE,CHARLEFT
648.0,660.0,ELVISPRESLEY,LOW,POS,SELF,,GESTURE FACE,EMOFADED
