start,end,character,arousal,valence,direction,emotion,oncue,offcue
238.0,271.0,WOMAN,LOW,NEG,SELF,,VERBAL,SCENEEND
310.0,311.0,MRSGUMP,LOW,NEG,OTHER,FEAR,VERBAL,SCENEEND
365.0,373.0,MRSGUMP,LOW,NEG,OTHER,CONTEMPT,VERBAL,EMOFADED
508.0,516.0,MAN,LOW,POS,OTHER,,VERBAL,SCENEEND
515.0,516.0,MRSGUMP,LOW,NEG,OTHER,,VERBAL,SCENEEND
576.0,586.0,MRSGUMP,LOW,NEG,SELF,SADNESS,VERBAL,SCENEEND
596.0,598.0,MAN,LOW,POS,SELF,HAPPINESS,VERBAL,CHARLEFT
654.0,669.0,FORRESTVO,LOW,POS,SELF,HAPPINESS,VERBAL,SCENEEND
743.0,750.0,WOMAN,LOW,POS,SELF,HAPPINESS,AUDIO,CHARLEFT
755.0,756.0,BOY,LOW,NEG,OTHER,CONTEMPT,VERBAL,CHARLEFT
759.0,760.0,BOY,LOW,NEG,OTHER,CONTEMPT,VERBAL,CHARLEFT
768.0,770.0,BOY,LOW,NEG,OTHER,CONTEMPT,VERBAL,CHARLEFT
788.0,791.0,FORREST,LOW,POS,OTHER,LOVE,VERBAL,SCENEEND
798.0,803.0,FORRESTVO,LOW,POS,OTHER,LOVE,VERBAL,EMOFADED
809.0,813.0,FORREST,LOW,NEG,SELF,SHAME,NARRATOR,EMOCHANGE
842.0,847.0,FORRESTVO,LOW,POS,SELF,HAPPINESS,VERBAL,SCENEEND
847.0,865.0,FORRESTVO,LOW,POS,SELF,HAPPINESS,VERBAL,SCENEEND
852.0,854.0,JENNY,LOW,POS,OTHER,,VERBAL,CHARLEFT
875.0,886.0,FORREST,LOW,POS,SELF,HAPPINESS,CONTEXT NARRATOR,SCENEEND
882.0,886.0,FORRESTVO,LOW,POS,OTHER,LOVE,VERBAL,SCENEEND
887.0,893.0,FORREST,LOW,NEG,SELF,SADNESS,NARRATOR,EMOFADED
902.0,903.0,BOY,LOW,NEG,OTHER,CONTEMPT,VERBAL,EMOFADED
905.0,907.0,BOY,LOW,NEG,OTHER,CONTEMPT,VERBAL,EMOFADED
907.0,908.0,FORREST,LOW,NEG,OTHER,ANGERRAGE,VERBAL,SCENEEND
909.0,910.0,JENNY,LOW,NEG,OTHER,COMPASSION,VERBAL,EMOCHANGE
911.0,926.0,JENNY,HIGH,NEG,OTHER,FEAR,VERBAL,EMOCHANGE
943.0,946.0,JENNY,LOW,POS,OTHER,ADMIRATION,VERBAL,SCENEEND
982.0,991.0,FORREST,LOW,POS,SELF,HAPPINESS,VERBAL,SCENEEND
992.0,1001.0,BOY,LOW,NEG,OTHER,ANGERRAGE,VERBAL,CHARLEFT
1061.0,1091.0,JENNY,LOW,NEG,SELF,FEAR,VERBAL,EMOCHANGE
1064.0,1110.0,JENNYSDAD,HIGH,NEG,OTHER,ANGERRAGE,VERBAL,SCENEEND
1091.0,1110.0,JENNY,LOW,NEG,SELF,SADNESS,VERBAL,SCENEEND
1147.0,1171.0,OLDERBOYS,LOW,NEG,OTHER,CONTEMPT,VERBAL,SCENEEND
1148.0,1150.0,JENNY,LOW,NEG,OTHER,ANGERRAGE,VERBAL,EMOCHANGE
1150.0,1162.0,JENNY,LOW,NEG,OTHER,FEAR,VERBAL,CHARLEFT
1173.0,1194.0,OLDERBOYS,LOW,POS,OTHER,,AUDIO,SCENEEND
1190.0,1194.0,JENNY,LOW,NEG,OTHER,,VERBAL,SCENEEND
1204.0,1212.0,OLDERBOYS,HIGH,POS,SELF,GLOATING,AUDIO,CHARLEFT
1229.0,1230.0,MAN,LOW,POS,OTHER,ADMIRATION,VERBAL,SCENEEND
1236.0,1240.0,FORRESTVO,LOW,POS,SELF,HAPPINESS,VERBAL,SCENEEND
1248.0,1250.0,MAN,HIGH,NEG,OTHER,,VERBAL,CHARLEFT
1250.0,1287.0,MAN,HIGH,NEG,OTHER,CONTEMPT,VERBAL,EMOCHANGE
1287.0,1292.0,MAN,LOW,POS,SELF,HAPPINESS,VERBAL,SCENEEND
1321.0,1334.0,JENNY,LOW,NEG,SELF,,VERBAL,EMOCHANGE
1332.0,1343.0,FORREST,HIGH,NEG,OTHER,ANGERRAGE,CONTEXT NARRATOR,EMOCHANGE
1334.0,1344.0,JENNY,HIGH,NEG,SELF,FEAR,VERBAL,EMOCHANGE
1343.0,1358.0,MAN,HIGH,NEG,OTHER,ANGERRAGE,VERBAL,CHARLEFT
1343.0,1384.0,FORREST,LOW,NEG,SELF,,VERBAL,SCENEEND
1344.0,1347.0,JENNY,LOW,NEG,OTHER,ANGERRAGE,VERBAL,EMOCHANGE
1347.0,1365.0,JENNY,HIGH,NEG,SELF,SADNESS,VERBAL,EMOCHANGE
1365.0,1373.0,JENNY,LOW,NEG,OTHER,ANGERRAGE,NARRATOR,EMOCHANGE
1373.0,1384.0,JENNY,LOW,NEG,OTHER,COMPASSION,VERBAL,SCENEEND
1412.0,1445.0,JENNY,LOW,POS,SELF,HOPE,VERBAL,EMOFADED
1468.0,1477.0,FORREST,LOW,POS,SELF,HAPPINESS,VERBAL,EMOCHANGE
1477.0,1513.0,FORREST,LOW,POS,SELF,SATISFACTION,VERBAL,EMOFADED
1491.0,1523.0,JENNY,LOW,POS,OTHER,LOVE,VERBAL,EMOFADED
1513.0,1519.0,FORREST,LOW,POS,SELF,HAPPINESS,VERBAL,EMOCHANGE
1519.0,1525.0,FORREST,LOW,NEG,SELF,SHAME,VERBAL,SCENEEND
1596.0,1599.0,PRESIDENTKENNEDY,LOW,POS,SELF,HAPPINESS,VERBAL,SCENEEND
1644.0,1660.0,MRSGUMP,LOW,POS,OTHER,PRIDE,NARRATOR,SCENEEND
1661.0,1670.0,MAN,HIGH,NEG,OTHER,,VERBAL,CHARLEFT
1671.0,1672.0,MAN,LOW,NEG,OTHER,,VERBAL,CHARLEFT
1675.0,1676.0,MAN,LOW,NEG,OTHER,,VERBAL,CHARLEFT
1676.0,1698.0,FORREST,LOW,NEG,SELF,,NARRATOR,EMOCHANGE
1759.0,1796.0,MAN,HIGH,POS,OTHER,,VERBAL,SCENEEND
1811.0,1819.0,MAN,LOW,NEG,OTHER,ANGERRAGE,VERBAL,EMOCHANGE
1819.0,1822.0,MAN,LOW,POS,OTHER,ADMIRATION,VERBAL,EMOCHANGE
1822.0,1830.0,MAN,LOW,NEG,OTHER,ANGERRAGE,VERBAL,CHARLEFT
1873.0,1904.0,FORRESTVO,LOW,NEG,SELF,SADNESS,VERBAL,EMOFADED
1887.0,1892.0,MAN,LOW,POS,SELF,,VERBAL,CHARLEFT
2000.0,2028.0,MAN,LOW,NEG,OTHER,ANGERRAGE,VERBAL,SCENEEND
2002.0,2015.0,JENNY,LOW,NEG,OTHER,ANGERRAGE,VERBAL,EMOCHANGE
2009.0,2028.0,FORREST,LOW,NEG,OTHER,ANGERRAGE,NARRATOR,SCENEEND
2015.0,2028.0,JENNY,LOW,NEG,OTHER,,VERBAL,SCENEEND
2030.0,2147.0,JENNY,HIGH,NEG,SELF,SADNESS,VERBAL,SCENEEND
2033.0,2042.0,FORREST,LOW,NEG,SELF,ANGERRAGE,VERBAL,EMOCHANGE
2042.0,2080.0,FORREST,LOW,NEG,SELF,SADNESS,VERBAL,EMOCHANGE
2080.0,2104.0,FORREST,LOW,NEG,OTHER,FEAR,VERBAL,EMOCHANGE
2104.0,2136.0,FORREST,LOW,NEG,SELF,SADNESS,VERBAL,EMOCHANGE
2136.0,2150.0,FORREST,LOW,POS,SELF,HOPE,VERBAL,SCENEEND
2162.0,2206.0,FORREST,LOW,NEG,SELF,FEAR,NARRATOR,EMOFADED
2162.0,2208.0,BUBBA,LOW,NEG,SELF,FEAR,NARRATOR,EMOFADED
2290.0,2308.0,DAN,LOW,NEG,OTHER,ANGERRAGE,VERBAL,SCENEEND
2315.0,2317.0,DAN,LOW,NEG,OTHER,ANGERRAGE,VERBAL,EMOFADED
2356.0,2359.0,FORREST,LOW,NEG,SELF,FEAR,VERBAL,SCENEEND
2394.0,2421.0,MAN,LOW,NEG,SELF,FEAR,CONTEXT VERBAL,SCENEEND
2411.0,2421.0,DAN,LOW,NEG,SELF,FEAR,CONTEXT VERBAL,SCENEEND
2445.0,2455.0,MAN,LOW,NEG,SELF,FEAR,VERBAL,EMOFADED
2505.0,2509.0,FORRESTVO,LOW,POS,SELF,HAPPINESS,VERBAL,SCENEEND
2555.0,2583.0,BUBBA,LOW,POS,SELF,HAPPINESS,VERBAL,SCENEEND
2647.0,2937.0,FORREST,HIGH,NEG,SELF,FEAR,CONTEXT NARRATOR,EMOCHANGE
2648.0,3059.0,DAN,HIGH,NEG,SELF,FEAR,VERBAL,
2651.0,3059.0,MAN,HIGH,NEG,SELF,FEAR,VERBAL,SCENEEND
2660.0,3059.0,BUBBA,HIGH,NEG,SELF,FEAR,VERBAL,SCENEEND
2682.0,3059.0,MAN,HIGH,NEG,SELF,FEAR,VERBAL,SCENEEND
2819.0,2826.0,MAN,HIGH,NEG,SELF,FEAR,VERBAL,CHARLEFT
2937.0,2977.0,FORREST,LOW,NEG,SELF,SADNESS,VERBAL,EMOCHANGE
2977.0,3059.0,FORREST,HIGH,NEG,SELF,FEAR,VERBAL,SCENEEND
3042.0,3059.0,FORRESTVO,LOW,NEG,SELF,SADNESS,VERBAL,SCENEEND
3095.0,3102.0,FORRESTVO,LOW,POS,SELF,HAPPINESS,VERBAL,CHARLEFT
3167.0,3171.0,FORREST,LOW,NEG,SELF,SADNESS,NARRATOR,SCENEEND
3178.0,3190.0,MAN,LOW,NEG,SELF,ANGERRAGE,VERBAL,CHARLEFT
3250.0,3251.0,DAN,LOW,NEG,SELF,,NARRATOR,SCENEEND
3268.0,3272.0,FORREST,LOW,POS,SELF,HAPPINESS,VERBAL,EMOFADED
3331.0,3334.0,PRESIDENTJOHNSON,LOW,POS,SELF,HAPPINESS,NARRATOR,SCENEEND
3389.0,3435.0,CROWD,HIGH,POS,SELF,HAPPINESS,VERBAL,EMOFADED
3414.0,3436.0,ABBIEHOFFMAN,HIGH,POS,SELF,HAPPINESS,VERBAL,EMOFADED
3421.0,3425.0,MAN,LOW,POS,SELF,HAPPINESS,VERBAL,CHARLEFT
3441.0,3460.0,ABBIEHOFFMAN,HIGH,POS,SELF,HAPPINESS,VERBAL,EMOFADED
