start,end,character,arousal,valence,direction,emotion,oncue,offcue
204.2,272.0,FORREST,LOW,POS,OTHER,HAPPINESS,AUDIO,SCENEEND
272.6,275.5,FORRESTVO,LOW,POS,OTHER,HAPPINESS,AUDIO,SCENEEND
275.2,310.4,MAN,LOW,POS,OTHER,HOPE,CONTEXT,SCENEEND
288.6,312.2,FORREST,LOW,NEG,SELF,SADNESS,CONTEXT,SCENEEND
313.3,319.3,FORRESTVO,LOW,POS,OTHER,HAPPINESS,AUDIO,SCENEEND
319.7,342.7,FORRESTVO,LOW,POS,OTHER,HAPPINESS,AUDIO,SCENEEND
343.4,385.5,FORRESTVO,LOW,POS,OTHER,HAPPINESS,AUDIO,SCENEEND
363.9,370.0,MRSGUMP,HIGH,NEG,OTHER,ANGERRAGE,AUDIO,SCENEEND
386.6,420.0,FORRESTVO,LOW,POS,OTHER,HAPPINESS,AUDIO,SCENEEND
444.0,445.0,MAN,LOW,NEG,OTHER,DISAPPOINTMENT,AUDIO,SCENEEND
448.2,456.6,FORRESTVO,LOW,POS,OTHER,HAPPINESS,AUDIO,SCENEEND
466.0,477.1,MAN,LOW,NEG,OTHER,GLOATING,AUDIO,SCENEEND
478.7,496.0,MRSGUMP,LOW,NEG,OTHER,ANGERRAGE,AUDIO,SCENEEND
508.5,512.0,MAN,LOW,POS,OTHER,LOVE,CONTEXT,SCENEEND
570.0,577.0,MRSGUMP,LOW,NEG,OTHER,DISAPPOINTMENT,CONTEXT,SCENEEND
587.6,594.0,FORRESTVO,LOW,POS,OTHER,HAPPINESS,AUDIO,SCENEEND
595.3,598.7,MAN,LOW,POS,OTHER,HAPPINESS,CONTEXT,CHARLEFT
598.3,610.9,FORRESTVO,LOW,POS,OTHER,HAPPINESS,AUDIO,CHARLEFT
613.3,619.2,FORRESTVO,LOW,POS,OTHER,HAPPINESS,AUDIO,CHARLEFT
632.7,636.5,MRSGUMP,LOW,NEG,OTHER,ANGERRAGE,AUDIO VERBAL,SCENEEND
635.7,651.9,ELVISPRESLEY,LOW,POS,OTHER,HAPPINESS,AUDIO,SCENEEND
654.6,666.2,FORRESTVO,LOW,POS,SELF,HAPPINESS,AUDIO,CHARLEFT
670.1,675.0,FORRESTVO,LOW,POS,SELF,HAPPINESS,AUDIO,SCENEEND
677.2,693.0,ELVISPRESLEY,HIGH,POS,SELF,HAPPINESS,AUDIO,CHARLEFT
687.5,693.0,MRSGUMP,LOW,NEG,OTHER,CONTEMPT,AUDIO VERBAL,SCENEEND
692.7,702.4,FORRESTVO,LOW,POS,SELF,HAPPINESS,AUDIO,SCENEEND
713.1,715.4,MRSGUMP,LOW,POS,OTHER,HOPE,VERBAL,CHARLEFT
715.4,716.8,FORREST,LOW,POS,SELF,,VERBAL,
718.5,724.0,FORRESTVO,LOW,POS,SELF,HAPPINESS,VERBAL,SCENEEND
755.5,756.9,BOY,LOW,NEG,OTHER,CONTEMPT,VERBAL,CHARLEFT
756.9,778.2,FORREST,LOW,NEG,SELF,SADNESS,CONTEXT,SCENEEND
759.8,760.4,BOY,LOW,NEG,OTHER,CONTEMPT,VERBAL,CHARLEFT
768.7,770.1,BOY,LOW,NEG,OTHER,CONTEMPT,VERBAL,CHARLEFT
792.8,806.8,JENNY,LOW,NEG,OTHER,COMPASSION,CONTEXT,EMOFADED
798.2,804.3,FORRESTVO,LOW,POS,OTHER,LOVE,AUDIO VERBAL,EMOCHANGE
826.5,831.2,FORRESTVO,LOW,POS,OTHER,GRATITUDE,AUDIO VERBAL,EMOCHANGE
842.5,864.2,FORRESTVO,HIGH,POS,OTHER,ADMIRATION,AUDIO CONTEXT,SCENEEND
852.2,854.9,JENNY,HIGH,POS,SELF,HAPPINESS,AUDIO,EMOFADED
866.3,870.1,FORRESTVO,LOW,POS,OTHER,GRATITUDE,AUDIO,EMOCHANGE
870.2,872.5,FORREST,LOW,NEG,OTHER,COMPASSION,VERBAL,EMOFADED
882.6,885.9,FORRESTVO,LOW,POS,OTHER,GRATITUDE,AUDIO,EMOFADED
888.5,890.0,FORREST,LOW,NEG,SELF,SADNESS,AUDIO,EMOCHANGE
893.5,900.1,FORREST,HIGH,POS,SELF,HAPPINESS,AUDIO,SCENEEND
902.6,903.0,BOY,HIGH,NEG,OTHER,HATE,AUDIO VERBAL,CHARLEFT
905.1,907.0,BOY,HIGH,NEG,OTHER,HATE,AUDIO VERBAL,CHARLEFT
908.9,910.7,JENNY,HIGH,POS,OTHER,COMPASSION,AUDIO VERBAL,CHARLEFT
911.7,912.6,JENNY,HIGH,POS,OTHER,COMPASSION,AUDIO VERBAL,CHARLEFT
912.9,914.0,JENNY,HIGH,POS,OTHER,COMPASSION,AUDIO VERBAL,CHARLEFT
914.8,915.7,BOY,HIGH,NEG,OTHER,HATE,AUDIO,
915.9,916.6,BOY,HIGH,NEG,OTHER,HATE,AUDIO,
916.6,918.7,BOY,HIGH,NEG,OTHER,HATE,AUDIO,
918.6,919.8,BOY,HIGH,NEG,OTHER,HATE,AUDIO,
920.6,922.0,BOY,HIGH,NEG,OTHER,HATE,AUDIO,
923.2,925.2,JENNY,HIGH,NEG,OTHER,COMPASSION,AUDIO VERBAL,
925.2,926.9,JENNY,HIGH,NEG,OTHER,COMPASSION,AUDIO VERBAL,CHARLEFT
928.6,929.9,BOY,LOW,NEG,OTHER,HATE,AUDIO VERBAL,CHARLEFT
943.3,946.8,JENNY,HIGH,POS,OTHER,COMPASSION,AUDIO VERBAL,CHARLEFT
977.0,979.7,FORRESTVO,HIGH,POS,SELF,PRIDE,AUDIO VERBAL,
980.9,992.0,FORREST,HIGH,POS,SELF,PRIDE,AUDIO,
991.3,993.0,BOY,HIGH,NEG,OTHER,DISAPPOINTMENT,VERBAL,
991.3,1009.8,FORREST,HIGH,POS,SELF,HAPPINESS,CONTEXT,SCENEEND
999.4,1000.0,BOY,HIGH,NEG,OTHER,DISAPPOINTMENT,VERBAL,
1013.7,1024.2,FORREST,HIGH,POS,SELF,HAPPINESS,CONTEXT,SCENEEND
1024.0,1026.8,MAN,LOW,NEG,OTHER,CONTEMPT,AUDIO VERBAL,SCENEEND
1062.0,1064.5,JENNY,HIGH,NEG,OTHER,FEAR,VERBAL,
1064.9,1109.8,JENNYSDAD,HIGH,NEG,OTHER,ANGERRAGE,VERBAL,
1065.9,1101.7,JENNY,HIGH,NEG,OTHER,FEAR,VERBAL,
1105.9,1109.6,FORRESTVO,LOW,NEG,OTHER,COMPASSION,AUDIO VERBAL,SCENEEND
1111.5,1124.1,FORRESTVO,LOW,POS,SELF,HAPPINESS,AUDIO VERBAL,SCENEEND
1133.0,1135.3,FORRESTVO,LOW,NEG,OTHER,COMPASSION,VERBAL,SCENEEND
1135.9,1144.3,FORRESTVO,LOW,NEG,OTHER,COMPASSION,VERBAL,SCENEEND
1147.4,1171.2,OLDERBOYS,HIGH,POS,OTHER,HATE,AUDIO VERBAL,SCENEEND
1148.7,1149.4,JENNY,HIGH,NEG,OTHER,ANGERRAGE,AUDIO VERBAL,EMOCHANGE
1150.5,1163.1,JENNY,HIGH,NEG,OTHER,COMPASSION,AUDIO VERBAL,SCENEEND
